slug,page_id,title
adjustments-clr-adjustments,4aq7UABDEQDWVHrQZnfqAy,Color adjustments
canva-ai-canva-ai-create-depth-map,2OR1X5XVYR2DMigAmVmKmo,Create Depth Map
object-control-isolating,S1Bx3ak771HmoY0LUiiO9,Soloing
adjustments-other-adjustments,7d45clPhkznhEmboDXKUjX,Other adjustments
introduction-system-requirements,2pAmlhz9vofEmGfwA31lfF,Affinity system requirements
introduction-key-features-core,4WjcxZG91s1vYcs24Ucpoz,Fundamentals
object-control-rasterizing,iDHqcEAzw8ayRzZaDcnRo,Rasterizing
object-control-compound,4dYpzBsMZCZeZV6LcCHXal,Creating compounds
layer-fx-layer-fx-inner-glow,7Jwwx8zdNzhTnsJJBGC5W2,Inner Glow
tools-tools-art-text,2wnLNIHScHX9jgnK2ENA5X,Artistic Text Tool
adjustments-export-3d-lut,63KSb0KP9ZvK3PuPhRLwXa,Exporting custom adjustments as LUTs
object-control-join,27VqEdTttkqwE31XeA4V0N,Joining with Booleans
layer-fx-layer-fx-gradient-overlay,7oPetj6pfZm4WLcqzc5wGN,Gradient Overlay
filters-filter-unsharp-mask,6MQiJ5Mkn2DNNw6WBwxxDN,Unsharp Mask
tools-tools-flood-erase,euHSudCLlzoeRaQsDeQJC,Flood Erase Tool
tools-tools-red-eye,3M8sYkv9Za1BfQfGz6w0ce,Red Eye Removal Tool
filters-filter-diffuse-glow,4IpNOMoUN9tfPyTpgbHOcK,Diffuse Glow
design-aids-guides,5M8cw9bwU18QyxrmtDJZz7,Ruler and column guides
object-control-align,7LplBczihyQjQSoaq4om9d,Aligning
tools-tools-flood-fill,7LZAOluNW9m1wyG3pRT3fv,Flood Fill Tool
extras-sidecar,440U2RTZ6MFyojWyGY4rT2,Using Sidecar (Mac)
artboards-artboards-object-control,2V1uxneI7mKXhVqobW6Ojp,Moving artboard content
filters-tonal-filters,7wDgPC7Wb3hziG6DEWoUjA,Lighting/tonal filters
object-control-imagetrace,4B6gTFWW52vfeOwq8RTvq3,Image Trace
tools-tools-liquify,4PFx9yWfia4x7I4r9Wl9Lp,Liquify Tools
curves-shapes-expand-stroke,3dsPsTVh502snwWXFgYJRM,Expand stroke
raw-using-masks-develop-studio,3j3XqEqGG1P7965cfWhUWU,Using Masks (Develop Studio)
filters-astro-filters,vFVTvPftd0Js4Ie2SUpEM,Astrophotography filters
canva-ai-ml-super-resolve-document,2Xmgm9BmxeI9CTPH3IsQAo,Super-resolve Document
workspace-shortcuts,QeTAqWgBq5mZyxAamkirk,Keyboard shortcuts
painting-path-stroke-modify,1ahtjftJlTxFCSbt3FwdkK,Modifying path brush strokes
panels-path-brushes-panel,4FSfrUj3d6kuV1NsU9K2A2,Path Brushes panel
tools-tools-path-brush,6oLto0AlW3YP41782zuyks,Path Brush Tool
canva-ai-canva-ai-select-subject,6mt14jJgS0tKEANnt5I3FH,Select Subject (Canva AI)
canva-ai-canva-ai-remove-background,1hJuR7nGYCY7OFLNL1blt9,Remove Background (Canva AI)
canva-ai-canva-ai-affinity-ml,3HXnSPg048eI4an7lIdMdn,Canva AI and Affinity Machine Learning (ML)
tools-tools-freehand-selection-tool,5kWHZVgD8hFyJ1EsBOZkgt,Freehand Selection Tool
design-aids-zoom,5BLGH1iViP1gnSMxrYFhTz,Zooming
panels-notes-panel,6UMaPkMl6tItf9CVYnd9CT,Notes panel
tools-tools-transform-source-image,4NdGXwtQ22Z3YmaAplreNt,Transform Source Image Tool
tools-tools-measure,6kjG0X263tmkuNOjc01uaU,Measure Tool
tools-tools-liquify-push-left,4riy5lMgcaeDcZyhIcKBpB,Liquify Push Left Tool
tools-tools-move,2mrvwg9wkeGcO4BCeHmpY0,Move Tool
tools-tools-zoom,6fJDyKPw4dCXrsRm8PuLsE,Zoom Tool
tools-tools-liquify-reconstruct,1lTbCaRJbDW2eXwd3goCN6,Liquify Reconstruct Tool
tables-edit-tables,2AFGEPQsIKBdQf1RAKwi8y,Editing tables
panels-raw-panel-basic,5SKqW0OPvdbEoDNUjxNxfU,Basic panel (Develop Studio)
adjustments-adjustment-ocio,56sGbwXfWIZHBOZgaL2jG5,OpenColorIO adjustment
tools-tools-cat,7HpTH9htZEF0j1YVk5TvoI,Cat Tool
panels-epub-panel,7nMMNOEBn4i8XR5HdTHeMy,EPUB panel
tools-tools-picture-frame-rectangle,26TQSOBcxgpUnY3dujbnxb,Picture Frame Rectangle Tool
panels-liquify-panel-mask,5Yl4fgxBVNadgC8nELz4n5,Mask panel
panels-liquify-panel-brush,6btJe0LAzbSMhfRpwQeYvr,Brushes panel
panels-raw-panel-focus,2TOq6mjvXe2h5rAf1CoA32,Focus panel (Develop Studio)
tools-tools-liquify-twirl,1m03g9nLBrWgC8WH14cRRG,Liquify Twirl Tool
panels-data-merge-panel,0pFB1Nwt21x6x1FfKKKcM,Data Merge panel
tools-tools-clone-brush,1Wni1igyA5ry9jf7304AbN,Clone Brush Tool
panels-swatches-panel,1PANWlXoeG4BXqIjWCBKSr,Swatches panel
panels-glyph-panel,3cbedx0p1K8rf5V0Cl9nWU,Glyph Browser panel
tools-tools-liquify-freeze,4PbVsagBggDJ8bGsroyZ33,Liquify Freeze Tool
tools-tools-liquify-turbulence,2vNltWNnToKQ0uihulrNxL,Liquify Turbulence Tool
tools-tools-style-picker,Oec74ixJlmnQRmsAVfV0C,Style Picker Tool
panels-quick-adjustments-panel,4A1TBNI7Ef1ByyKtW8ArZq,Quick Adjustments panel
tools-tools-area,7g9wseTwjuUp0FpKF8NFxX,Area Tool
tools-tools-erase-from-source-image,3VBW0uywbXiZxwtEGCh86W,Erase From Source Image Mask Tool
panels-resource-manager-panel,2Ylvu51ckVcGQLh0CxKKSG,Resource Manager panel
panels-metadata-panel,5Ce6GzNJbmbkRbGkhxhiuo,Metadata panel
panels-raw-panel-details,2AMb1Sgtt46FtdUoc1iwCf,Details panel (Develop Studio)
tools-tools-liquify-thaw,7KJZFjSoaX8UxIRVXUokGZ,Liquify Thaw Tool
panels-text-styles-panel,3D6supeGzvnPs8J0NCNmK0,Text Styles panel
panels-batch-panel,7pr7GHddEweyY6buOooO25,Batch panel
object-control-linking,6TY0jB9YuHUbAjKlJPRr29,Linking
panels-adjustments-panel,WvVTB7W0KIekn9eDuAXDy,Adjustment panel
tools-tools-perspective,1D3wFJ0pPq4MRhx4O9lZCL,Perspective Tool
tools-tools-picture-frame-ellipse,5Kki7GxSxXec6xBIYjjhHN,Picture Frame Ellipse Tool
panels-font-manager-panel,3ceqU4Fxnloz78ImXgAprw,Font Manager panel
panels-links-panel,3QDCvaUPa4d8j53pHH1gUB,Links panel
panels-library-panel,1LzEIh2dfKKRjyXSPcbfsu,Library panel
tools-tools-artboard,IJfTpJNG5R5khUWynQBxF,Artboard Tool
design-aids-undo,60byY75QDx8BffZpxOgsuL,"Using undo, redo and history"
panels-raw-panel-tones,2FMg7pSUPry3kqzg4KvdEc,Tones panel (Develop Studio)
panels-astro-panel-files,6S1J3UEdJRkb7bR655tEth,Files panel (Astrophotography Stack Studio)
adjustments-adjustment-hsl,5famPHJXu4SJ4JAZTWpvVK,HSL adjustment
object-control-symbols,U7EZUXKBUx87772QQGboo,Symbols
tools-tools-undo-brush,EVa5RHIqj3hGxShidsZ2P,Undo Brush Tool
tools-tools-patch,vEwA0DhNlOj0jRV62HxMt,Patch Tool
panels-crossrefs-panel,taK4MnYp6ryoIp6qWsLBW,Cross-References panel
panels-pages-panel,8nDSn7ruX9cta43eh8bLk,Pages panel
panels-reading-order-panel,2nyZy5OM1D8sB1P6cRCfMu,Reading Order panel
panels-raw-panel-lens,2J2RYuIPkFMlPc9yNrgkrR,Lens panel (Develop Studio)
panels-history-panel,2mETpWDYltoTO6Uy3KNSjc,History panel
panels-hyperlinks-panel,5oY1qvzITlfoqAVuhw0oQY,Hyperlinks panel
panels-navigator-panel,3ULyrpKUaS7E1iJpe8WlRb,Navigator panel
panels-histogram-panel,MQwMzmsheg3hKRRBm9rWc,Histogram panel
panels-clr-panel,3u69QQbxmhgipIMUnyCPZG,Color panel
panels-stock-panel,3cSm9AoE6Yfn0CKGN0xgFY,Stock panel
panels-tools-panel,42XlijmHho6gfirO0MQ6qQ,Tools panel
design-aids-rulers,1ckWxjKPgyA7UiSnHZ7b5j,Rulers
panels-paragraph-panel,6H4uJrO9FcxoRh1N0eEW5e,Paragraph panel
layer-fx-create-layer-fx,1SlJLztfwUZUs5PegUh7PH,Applying layer effects
panels-typography-panel,5er8HpbREzGQNAHTsCzzEw,Typography panel
tools-tools-marquee-column,k4KXaESbM4cU6RWxZIj7V,Column Marquee Tool
tools-tools-marquee-elliptical,7J6FBkExU1AyUvCeb3PFPY,Elliptical Marquee Tool
panels-ask-ritson-panel,1VGG2bKcrjTgFsVYZKaLi1,Ask Ritson panel
panels-find-replace-panel,2URysfi9SAYKPVK2WTzD13,Find and Replace panel
astrophotography-astro-about,2olruLYpVtnrZcSNd8XyKO,About astrophotography stacking
tools-tools-liquify-push-forward,4mjzhhMDr95xTVJGPvjWPx,Liquify Push Forward Tool
design-aids-using-vectorscope,6shTilZOy8qh093JIpv559,Using Vectorscope (desktop only)
panels-scope-panel,17tBtRYuJsfO8HsEwr68r1,Scope panel
adjustments-adjustment-exposure,2CngutdqyARNOoYJ0XYfsU,Exposure adjustment
tools-tools-liquify-pinch,C3rROTyoMOZO9BWkAlylV,Liquify Pinch Tool
panels-layers-panel,5wDzgkCbQoiw4AUZ6vxgOs,Layers panel
object-control-rotate-shear,6YcaTrAa0l7TuKYS8n6yPT,Rotating and shearing
tools-tools-raster-crop,4QtlIsXFkm7XrJlZhmGtbp,Crop Tool
tools-tools-vector-flood-fill,5lISz3kZ1a1ajUV1xtW4rF,Vector Flood Fill Tool
panels-snapshots-panel,6dByhbiTnqilO0m9vATYQ9,Snapshots panel
media-stock-photos,4DcQKPzoDTYwUvbqQ8WPBI,Using stock photos
panels-toc-panel,3svp5Np42y7AObHfRItRIg,Table of Contents (ToC) panel
panels-export-options-panel,2r8lDGaTasp8KvAG4WmRtq,Export Options panel
tools-tools-marquee-row,32in2bFbF6ZyydZI9kZe5z,Row Marquee Tool
tables-create-tables,5dByFg9teBE0dNqkHRCLq7,Creating tables
tools-tools-marquee-rectangular,7vNH8yGVqCZg1YC335JomB,Rectangular Marquee Tool
tools-tools-shape-builder,4lpOX9ibC7tgIhSlUTMFiw,Shape Builder Tool
tools-tools-slice,6Z7yZqOltMTtRWQdhHp153,Slice Tool
advanced-hyperlinks,fP7vxNcLvlUz7nkJKt7H5,Hyperlinks
panels-place-panel,2GiCwOu6AvC3a3E6sPsrey,Place panel
object-control-styles,1XSdnlEkcvb1dun7pVltDA,Styles
panels-states-panel,2wWb0IklDrGhZMfO5kEyrH,States panel
object-control-layer-states,LFwNEIKbwNJpZJFU8C6k9,Layer states
panels-index-panel,7sxGRnxUR43jOUDmmwG3s1,Index panel
panels-transform-panel,64r2w3Vos8UqwiHVqGTynI,Transform panel
tools-tools-mesh-warp,6CUB9kXQlzrjOWGJ5S0eyw,Mesh Warp Tool
panels-appearance-panel,7i5pBbF9ABIPt96Xm0O1JD,Appearance panel
tools-tools-point-transform,4FtIPhM7kzuV72kMkRg3K3,Point Transform Tool
adjustments-adjustment-normals,4Zy6cl7jD0UkKn0h17eZNS,Normals adjustment
tools-tools-transparency,1lgJ92NkKOQcqmpQcZ0C7i,Transparency Tool
tools-tools-liquify-punch,6vTmwAdCtRvyIlAWkMA0eL,Liquify Punch Tool
adjustments-adjustment-black-and-white,2oIbD1qMggVMjBFTX0OQef,Black and White adjustment
panels-liquify-panel-mesh,3pnOP8BPb5YcAJVwIrhLpJ,Mesh panel
tools-tools-white-balance,6GrMRRux9lC8pAIDURJy3h,White Balance Tool (Develop Studio)
adjustments-adjustment-gradient-map,24Afs8yiMIgxfkOmY2Cle2,Gradient map adjustment
panels-preflight-panel,6yauggQRaKbjGV37617Gjf,Preflight panel
panels-text-wrapping-panel,2JvVKLMTmX5wWt6ZArJz4r,Text Wrapping panel
tools-tools-liquify-mesh-clone,2NKZ81qCrXUFgP42bqi7LB,Liquify Mesh Clone Tool
panels-brushes-panel,5hssnC9EHr0s12ImGRnLAO,Brushes panel
adjustments-adjustment-detail-refinement,4XZuJiIF9aGOMUgaxzRTQy,Detail Refinement
